time,open,high,low,close,Range Filter,High Target,Low Target,upward,BBWP,Extreme Hi,Extreme Lo,MA 1,MA 2
1556668800,5270,9093.925,5266.975,8542.59,NaN,NaN,NaN,0,26.08695652173913,NaN,NaN,30.4721749988148,NaN
1559347200,8544.7625,13870.6275,7431.4175,10754.915,NaN,NaN,NaN,0,41.37931034482759,NaN,NaN,32.44173076147401,NaN
1561939200,10756.975,13196.8325,9073.385,10085.57,NaN,NaN,NaN,0,46.15384615384615,NaN,NaN,34.52964284938609,NaN
1564617600,10094.0025,12326.6025,9309.9575,9600.935,NaN,NaN,NaN,0,47.45762711864407,NaN,NaN,38.18046030851314,NaN
1567296000,9599.3575,10951.85,7694.05,8303.7925,NaN,NaN,NaN,0,47.89915966386555,NaN,NaN,41.7953799605845,NaN
1569888000,8311.105,10520.2475,7291.8075,9152.5625,NaN,NaN,NaN,0,48.333333333333336,NaN,NaN,46.24465532290334,NaN
1572566400,9155.985,9596.625,6522.48,7554.92,NaN,NaN,NaN,0,46.28099173553719,NaN,NaN,47.22499160104526,NaN
1575158400,7556.4725,7792.265,6430.145,7167.07,NaN,NaN,NaN,0,41.80327868852459,NaN,NaN,46.35487810798095,NaN
1577836800,7164.9025,9569.5,6857.05,9333.17,NaN,NaN,NaN,0,34.959349593495936,NaN,NaN,43.855222602951315,NaN
1580515200,9339.8425,10514.2025,8429.8975,8526.76,NaN,NaN,NaN,0,20.967741935483872,NaN,NaN,38.46893905727498,NaN
1583020800,8528.5075,9217.95,3880.5875,6424.0325,NaN,NaN,NaN,0,12.8,NaN,NaN,31.362272390608315,NaN
1585699200,6425.015,9481.3425,6152.895,8627.93,NaN,NaN,NaN,0,9.523809523809524,NaN,NaN,24.010835948262777,NaN
1588291200,8627.5475,10078.3,8086.295,9448.95,NaN,NaN,NaN,0,9.448818897637794,NaN,NaN,17.53994399008542,NaN
1590969600,9446.96,10413.065,8820.86,9134.015,NaN,NaN,NaN,0,9.375,NaN,NaN,12.423074071386228,NaN
1593561600,9135.67,11460.3875,8909.995,11354.0825,NaN,NaN,NaN,0,10.852713178294573,NaN,NaN,10.400068319948366,NaN
1596240000,11354.7825,12479.03,10569.515,11657.2675,NaN,NaN,NaN,0,11.538461538461538,NaN,NaN,10.147760627640675,NaN
1598918400,11658.1025,12072.2525,9836.43,10779.1975,NaN,NaN,NaN,0,12.213740458015266,NaN,NaN,10.685746814481824,NaN
1601510400,10781.775,14095.095,10376.45,13809.855,NaN,NaN,NaN,0,15.909090909090908,NaN,NaN,11.977801216772445,NaN
1604188800,13799.875,19867.6775,13219.33,19709.54,NaN,NaN,NaN,0,40.6015037593985,NaN,NaN,18.223101968652156,NaN
1606780800,19710.6975,29307.5225,17575.405,28980.4525,NaN,NaN,NaN,0,61.940298507462686,NaN,NaN,28.44061903448578,NaN
1609459200,28976.325,41993.84,27741.085,33138.715,NaN,NaN,NaN,0,65.18518518518519,NaN,NaN,39.169963763830516,NaN
1612137600,33128.5375,58385.435,32328.07,45238.64,NaN,NaN,NaN,0,71.32352941176471,NaN,NaN,50.9919215545804,NaN
1614556800,45247.535,61769.97,45039.19,58793.155,NaN,NaN,NaN,0,77.37226277372264,NaN,NaN,63.284555927506744,NaN
